State County FIPS,Postal Code,Name,Median Household Income,Year
"12 , 123",FL,Taylor County,30871,2008
"12 , 125",FL,Union County,32847,2008
"12 , 127",FL,Volusia County,36100,2008
"12 , 129",FL,Wakulla County,38076,2008
"12 , 131",FL,Walton County,34884,2008
"12 , 133",FL,Washington County,28587,2008
"12 , 1",FL,Alachua County,33176,2009
"12 , 3",FL,Baker County,39281,2009
"12 , 5",FL,Bay County,37081,2009
"12 , 7",FL,Bradford County,32598,2009
"12 , 9",FL,Brevard County,42192,2009
"12 , 11",FL,Broward County,42673,2009
"12 , 13",FL,Calhoun County,26615,2009
"12 , 15",FL,Charlotte County,36514,2009
"12 , 17",FL,Citrus County,31932,2009
"12 , 19",FL,Clay County,51376,2009
"12 , 21",FL,Collier County,48242,2009
"12 , 23",FL,Columbia County,30815,2009
"12 , 27",FL,DeSoto County,27784,2009
"12 , 29",FL,Dixie County,25874,2009
"12 , 31",FL,Duval County,40457,2009
"12 , 33",FL,Escambia County,35347,2009
"12 , 35",FL,Flagler County,42681,2009
"12 , 37",FL,Franklin County,28896,2009
"12 , 39",FL,Gadsden County,29814,2009
"12 , 41",FL,Gilchrist County,30908,2009
"12 , 43",FL,Glades County,31598,2009
"12 , 45",FL,Gulf County,31543,2009
"12 , 47",FL,Hamilton County,25201,2009
"12 , 49",FL,Hardee County,27851,2009
"12 , 51",FL,Hendry County,31292,2009
"12 , 53",FL,Hernando County,33874,2009
"12 , 55",FL,Highlands County,29421,2009
"12 , 57",FL,Hillsborough County,43304,2009
"12 , 59",FL,Holmes County,27773,2009
"12 , 61",FL,Indian River County,40356,2009
"12 , 63",FL,Jackson County,29951,2009
"12 , 65",FL,Jefferson County,32742,2009
"12 , 67",FL,Lafayette County,27177,2009
"12 , 69",FL,Lake County,39040,2009
"12 , 71",FL,Lee County,41270,2009
"12 , 73",FL,Leon County,38084,2009
"12 , 75",FL,Levy County,27904,2009
"12 , 77",FL,Liberty County,29824,2009
"12 , 79",FL,Madison County,26592,2009
"12 , 81",FL,Manatee County,39756,2009
"12 , 83",FL,Marion County,33247,2009
"12 , 85",FL,Martin County,43136,2009
"12 , 86",FL,Miami-Dade County,33054,2009
"12 , 87",FL,Monroe County,41306,2009
"12 , 89",FL,Nassau County,48579,2009
"12 , 91",FL,Okaloosa County,43173,2009
"12 , 93",FL,Okeechobee County,29789,2009
"12 , 95",FL,Orange County,40671,2009
"12 , 97",FL,Osceola County,38966,2009
"12 , 99",FL,Palm Beach County,43014,2009
"12 , 101",FL,Pasco County,35386,2009
"12 , 103",FL,Pinellas County,36266,2009
"12 , 105",FL,Polk County,35125,2009
"12 , 107",FL,Putnam County,28664,2009
"12 , 109",FL,St. Johns County,52758,2009
"12 , 111",FL,St. Lucie County,37407,2009
"12 , 113",FL,Santa Rosa County,44636,2009
"12 , 115",FL,Sarasota County,42355,2009
"12 , 117",FL,Seminole County,49267,2009
"12 , 119",FL,Sumter County,34044,2009
"12 , 121",FL,Suwannee County,29523,2009
"12 , 123",FL,Taylor County,30871,2009
"12 , 125",FL,Union County,32847,2009
"12 , 127",FL,Volusia County,36100,2009
"12 , 129",FL,Wakulla County,38076,2009
"12 , 131",FL,Walton County,34884,2009
"12 , 133",FL,Washington County,28587,2009
"12 , 1",FL,Alachua County,33176,2010
"12 , 3",FL,Baker County,39281,2010
"12 , 5",FL,Bay County,37081,2010
"12 , 7",FL,Bradford County,32598,2010
"12 , 9",FL,Brevard County,42192,2010
"12 , 11",FL,Broward County,42673,2010
"12 , 13",FL,Calhoun County,26615,2010
"12 , 15",FL,Charlotte County,36514,2010
"12 , 17",FL,Citrus County,31932,2010
"12 , 19",FL,Clay County,51376,2010
"12 , 21",FL,Collier County,48242,2010
"12 , 23",FL,Columbia County,30815,2010
"12 , 27",FL,DeSoto County,27784,2010
"12 , 29",FL,Dixie County,25874,2010
"12 , 31",FL,Duval County,40457,2010
"12 , 33",FL,Escambia County,35347,2010
"12 , 35",FL,Flagler County,42681,2010
"12 , 37",FL,Franklin County,28896,2010
"12 , 39",FL,Gadsden County,29814,2010
"12 , 41",FL,Gilchrist County,30908,2010
"12 , 43",FL,Glades County,31598,2010
"12 , 45",FL,Gulf County,31543,2010
"12 , 47",FL,Hamilton County,25201,2010
"12 , 49",FL,Hardee County,27851,2010
"12 , 51",FL,Hendry County,31292,2010
"12 , 53",FL,Hernando County,33874,2010
"12 , 55",FL,Highlands County,29421,2010
"12 , 57",FL,Hillsborough County,43304,2010
"12 , 59",FL,Holmes County,27773,2010
"12 , 61",FL,Indian River County,40356,2010
"12 , 63",FL,Jackson County,29951,2010
"12 , 65",FL,Jefferson County,32742,2010
"12 , 67",FL,Lafayette County,27177,2010
"12 , 69",FL,Lake County,39040,2010
"12 , 71",FL,Lee County,41270,2010
"12 , 73",FL,Leon County,38084,2010
"12 , 75",FL,Levy County,27904,2010
"12 , 77",FL,Liberty County,29824,2010
"12 , 79",FL,Madison County,26592,2010
"12 , 81",FL,Manatee County,39756,2010
"12 , 83",FL,Marion County,33247,2010
"12 , 85",FL,Martin County,43136,2010
"12 , 86",FL,Miami-Dade County,33054,2010
"12 , 87",FL,Monroe County,41306,2010
"12 , 89",FL,Nassau County,48579,2010
"12 , 91",FL,Okaloosa County,43173,2010
"12 , 93",FL,Okeechobee County,29789,2010
"12 , 95",FL,Orange County,40671,2010
"12 , 97",FL,Osceola County,38966,2010
"12 , 99",FL,Palm Beach County,43014,2010
"12 , 101",FL,Pasco County,35386,2010
"12 , 103",FL,Pinellas County,36266,2010
"12 , 105",FL,Polk County,35125,2010
"12 , 107",FL,Putnam County,28664,2010
"12 , 109",FL,St. Johns County,52758,2010
"12 , 111",FL,St. Lucie County,37407,2010
"12 , 113",FL,Santa Rosa County,44636,2010
"12 , 115",FL,Sarasota County,42355,2010
"12 , 117",FL,Seminole County,49267,2010
"12 , 119",FL,Sumter County,34044,2010
"12 , 121",FL,Suwannee County,29523,2010
"12 , 123",FL,Taylor County,30871,2010
"12 , 125",FL,Union County,32847,2010
"12 , 127",FL,Volusia County,36100,2010
"12 , 129",FL,Wakulla County,38076,2010
"12 , 131",FL,Walton County,34884,2010
"12 , 133",FL,Washington County,28587,2010
"12 , 1",FL,Alachua County,33176,2011
"12 , 3",FL,Baker County,39281,2011
"12 , 5",FL,Bay County,37081,2011
"12 , 7",FL,Bradford County,32598,2011
"12 , 9",FL,Brevard County,42192,2011
"12 , 11",FL,Broward County,42673,2011
"12 , 13",FL,Calhoun County,26615,2011
"12 , 15",FL,Charlotte County,36514,2011
"12 , 17",FL,Citrus County,31932,2011
"12 , 19",FL,Clay County,51376,2011
"12 , 21",FL,Collier County,48242,2011
"12 , 23",FL,Columbia County,30815,2011
"12 , 27",FL,DeSoto County,27784,2011
"12 , 29",FL,Dixie County,25874,2011
"12 , 31",FL,Duval County,40457,2011
"12 , 33",FL,Escambia County,35347,2011
"12 , 35",FL,Flagler County,42681,2011
"12 , 37",FL,Franklin County,28896,2011
"12 , 39",FL,Gadsden County,29814,2011
"12 , 41",FL,Gilchrist County,30908,2011
"12 , 43",FL,Glades County,31598,2011
"12 , 45",FL,Gulf County,31543,2011
"12 , 47",FL,Hamilton County,25201,2011
"12 , 49",FL,Hardee County,27851,2011
"12 , 51",FL,Hendry County,31292,2011
"12 , 53",FL,Hernando County,33874,2011
"12 , 55",FL,Highlands County,29421,2011
"12 , 57",FL,Hillsborough County,43304,2011
"12 , 59",FL,Holmes County,27773,2011
"12 , 61",FL,Indian River County,40356,2011
"12 , 63",FL,Jackson County,29951,2011
"12 , 65",FL,Jefferson County,32742,2011
"12 , 67",FL,Lafayette County,27177,2011
"12 , 69",FL,Lake County,39040,2011
"12 , 71",FL,Lee County,41270,2011
"12 , 73",FL,Leon County,38084,2011
"12 , 75",FL,Levy County,27904,2011
"12 , 77",FL,Liberty County,29824,2011
"12 , 79",FL,Madison County,26592,2011
"12 , 81",FL,Manatee County,39756,2011
"12 , 83",FL,Marion County,33247,2011
"12 , 85",FL,Martin County,43136,2011
"12 , 86",FL,Miami-Dade County,33054,2011
"12 , 87",FL,Monroe County,41306,2011
"12 , 89",FL,Nassau County,48579,2011
"12 , 91",FL,Okaloosa County,43173,2011
"12 , 93",FL,Okeechobee County,29789,2011
"12 , 95",FL,Orange County,40671,2011
"12 , 97",FL,Osceola County,38966,2011
"12 , 99",FL,Palm Beach County,43014,2011
"12 , 101",FL,Pasco County,35386,2011
"12 , 103",FL,Pinellas County,36266,2011
"12 , 105",FL,Polk County,35125,2011
"12 , 107",FL,Putnam County,28664,2011
"12 , 109",FL,St. Johns County,52758,2011
"12 , 111",FL,St. Lucie County,37407,2011
"12 , 113",FL,Santa Rosa County,44636,2011
"12 , 115",FL,Sarasota County,42355,2011
"12 , 117",FL,Seminole County,49267,2011
"12 , 119",FL,Sumter County,34044,2011
"12 , 121",FL,Suwannee County,29523,2011
"12 , 123",FL,Taylor County,30871,2011
"12 , 125",FL,Union County,32847,2011
"12 , 127",FL,Volusia County,36100,2011
"12 , 129",FL,Wakulla County,38076,2011
"12 , 131",FL,Walton County,34884,2011
"12 , 133",FL,Washington County,28587,2011
"12 , 1",FL,Alachua County,33176,2012
"12 , 3",FL,Baker County,39281,2012
"12 , 5",FL,Bay County,37081,2012
"12 , 7",FL,Bradford County,32598,2012
"12 , 9",FL,Brevard County,42192,2012
