State County FIPS,Postal Code,Name,Median Household Income,Year
"30 , 69",MT,Petroleum County,23622,2011
"30 , 71",MT,Phillips County,29472,2011
"30 , 73",MT,Pondera County,29420,2011
"30 , 75",MT,Powder River County,28851,2011
"30 , 77",MT,Powell County,29676,2011
"30 , 79",MT,Prairie County,28238,2011
"30 , 81",MT,Ravalli County,34907,2011
"30 , 83",MT,Richland County,34365,2011
"30 , 85",MT,Roosevelt County,25677,2011
"30 , 87",MT,Rosebud County,38696,2011
"30 , 89",MT,Sanders County,28456,2011
"30 , 91",MT,Sheridan County,29651,2011
"30 , 93",MT,Silver Bow County,32263,2011
"30 , 95",MT,Stillwater County,44890,2011
"30 , 97",MT,Sweet Grass County,34253,2011
"30 , 99",MT,Teton County,30928,2011
"30 , 101",MT,Toole County,29946,2011
"30 , 103",MT,Treasure County,30961,2011
"30 , 105",MT,Valley County,32391,2011
"30 , 107",MT,Wheatland County,23620,2011
"30 , 109",MT,Wibaux County,29653,2011
"30 , 111",MT,Yellowstone County,41174,2011
"30 , 1",MT,Beaverhead County,31605,2012
"30 , 3",MT,Big Horn County,27719,2012
"30 , 5",MT,Blaine County,25373,2012
"30 , 7",MT,Broadwater County,33360,2012
"30 , 9",MT,Carbon County,34499,2012
"30 , 11",MT,Carter County,26301,2012
"30 , 13",MT,Cascade County,34546,2012
"30 , 15",MT,Chouteau County,28774,2012
"30 , 17",MT,Custer County,31980,2012
"30 , 19",MT,Daniels County,28081,2012
"30 , 21",MT,Dawson County,33900,2012
"30 , 23",MT,Deer Lodge County,28553,2012
"30 , 25",MT,Fallon County,35354,2012
"30 , 27",MT,Fergus County,31612,2012
"30 , 29",MT,Flathead County,37492,2012
"30 , 31",MT,Gallatin County,40724,2012
"30 , 33",MT,Garfield County,28572,2012
"30 , 35",MT,Glacier County,27129,2012
"30 , 37",MT,Golden Valley County,24739,2012
"30 , 39",MT,Granite County,30988,2012
"30 , 41",MT,Hill County,32365,2012
"30 , 43",MT,Jefferson County,45407,2012
"30 , 45",MT,Judith Basin County,27014,2012
"30 , 47",MT,Lake County,30362,2012
"30 , 49",MT,Lewis and Clark County,40578,2012
"30 , 51",MT,Liberty County,28258,2012
"30 , 53",MT,Lincoln County,29331,2012
"30 , 55",MT,McCone County,27921,2012
"30 , 57",MT,Madison County,31856,2012
"30 , 59",MT,Meagher County,26010,2012
"30 , 61",MT,Mineral County,29904,2012
"30 , 63",MT,Missoula County,36790,2012
"30 , 65",MT,Musselshell County,27499,2012
"30 , 67",MT,Park County,32837,2012
"30 , 69",MT,Petroleum County,23622,2012
"30 , 71",MT,Phillips County,29472,2012
"30 , 73",MT,Pondera County,29420,2012
"30 , 75",MT,Powder River County,28851,2012
"30 , 77",MT,Powell County,29676,2012
"30 , 79",MT,Prairie County,28238,2012
"30 , 81",MT,Ravalli County,34907,2012
"30 , 83",MT,Richland County,34365,2012
"30 , 85",MT,Roosevelt County,25677,2012
"30 , 87",MT,Rosebud County,38696,2012
