,State County FIPS,Postal Code,Name,Median Household Income
482,"13 , 197",GA,Marion County,29239
483,"13 , 199",GA,Meriwether County,30928
484,"13 , 201",GA,Miller County,27102
485,"13 , 205",GA,Mitchell County,25395
486,"13 , 207",GA,Monroe County,43082
487,"13 , 209",GA,Montgomery County,30153
488,"13 , 211",GA,Morgan County,40813
489,"13 , 213",GA,Murray County,36979
490,"13 , 215",GA,Muscogee County,34393
491,"13 , 217",GA,Newton County,46035
492,"13 , 219",GA,Oconee County,57927
493,"13 , 221",GA,Oglethorpe County,36808
494,"13 , 223",GA,Paulding County,57058
495,"13 , 225",GA,Peach County,33581
496,"13 , 227",GA,Pickens County,44966
497,"13 , 229",GA,Pierce County,31893
498,"13 , 231",GA,Pike County,46319
499,"13 , 233",GA,Polk County,33359
500,"13 , 235",GA,Pulaski County,31385
501,"13 , 237",GA,Putnam County,35858
502,"13 , 239",GA,Quitman County,25873
503,"13 , 241",GA,Rabun County,34065
504,"13 , 243",GA,Randolph County,22997
505,"13 , 245",GA,Richmond County,32170
506,"13 , 247",GA,Rockdale County,50621
507,"13 , 249",GA,Schley County,31990
508,"13 , 251",GA,Screven County,28726
509,"13 , 253",GA,Seminole County,27397
510,"13 , 255",GA,Spalding County,35295
511,"13 , 257",GA,Stephens County,31063
512,"13 , 259",GA,Stewart County,23856
513,"13 , 261",GA,Sumter County,29750
514,"13 , 263",GA,Talbot County,28455
515,"13 , 265",GA,Taliaferro County,23292
516,"13 , 267",GA,Tattnall County,27502
517,"13 , 269",GA,Taylor County,26457
518,"13 , 271",GA,Telfair County,24882
519,"13 , 273",GA,Terrell County,26863
520,"13 , 275",GA,Thomas County,30929
521,"13 , 277",GA,Tift County,31649
522,"13 , 279",GA,Toombs County,27235
523,"13 , 281",GA,Towns County,33252
524,"13 , 283",GA,Treutlen County,24912
525,"13 , 285",GA,Troup County,35966
526,"13 , 287",GA,Turner County,26291
527,"13 , 289",GA,Twiggs County,31652
528,"13 , 291",GA,Union County,33246
529,"13 , 293",GA,Upson County,30001
530,"13 , 295",GA,Walker County,33258
531,"13 , 297",GA,Walton County,47130
532,"13 , 299",GA,Ware County,28557
533,"13 , 301",GA,Warren County,27826
534,"13 , 303",GA,Washington County,30109
535,"13 , 305",GA,Wayne County,32759
536,"13 , 307",GA,Webster County,29528
537,"13 , 309",GA,Wheeler County,24202
538,"13 , 311",GA,White County,36824
539,"13 , 313",GA,Whitfield County,40320
540,"13 , 315",GA,Wilcox County,26835
541,"13 , 317",GA,Wilkes County,27396
542,"13 , 319",GA,Wilkinson County,31800
543,"13 , 321",GA,Worth County,32115
544,"15 , 1",HI,Hawaii County,40041
545,"15 , 3",HI,Honolulu County,51747
546,"15 , 5",HI,Kalawao County,.
547,"15 , 7",HI,Kauai County,43153
548,"15 , 9",HI,Maui County,46915
549,"16 , 1",ID,Ada County,49512
550,"16 , 3",ID,Adams County,30697
551,"16 , 5",ID,Bannock County,38462
552,"16 , 7",ID,Bear Lake County,34959
553,"16 , 9",ID,Benewah County,33267
554,"16 , 11",ID,Bingham County,37992
555,"16 , 13",ID,Blaine County,52568
556,"16 , 15",ID,Boise County,40024
557,"16 , 17",ID,Bonner County,34362
558,"16 , 19",ID,Bonneville County,45263
559,"16 , 21",ID,Boundary County,32658
560,"16 , 23",ID,Butte County,32176
561,"16 , 25",ID,Camas County,35500
562,"16 , 27",ID,Canyon County,37701
563,"16 , 29",ID,Caribou County,41362
564,"16 , 31",ID,Cassia County,34287
565,"16 , 33",ID,Clark County,32218
566,"16 , 35",ID,Clearwater County,33366
567,"16 , 37",ID,Custer County,32854
568,"16 , 39",ID,Elmore County,36748
569,"16 , 41",ID,Franklin County,38922
570,"16 , 43",ID,Fremont County,36174
571,"16 , 45",ID,Gem County,35682
572,"16 , 47",ID,Gooding County,33351
573,"16 , 49",ID,Idaho County,30309
574,"16 , 51",ID,Jefferson County,41522
575,"16 , 53",ID,Jerome County,34844
576,"16 , 55",ID,Kootenai County,40116
577,"16 , 57",ID,Latah County,35639
578,"16 , 59",ID,Lemhi County,30151
579,"16 , 61",ID,Lewis County,33700
580,"16 , 63",ID,Lincoln County,35669
581,"16 , 65",ID,Madison County,32448
582,"16 , 67",ID,Minidoka County,32272
583,"16 , 69",ID,Nez Perce County,37151
584,"16 , 71",ID,Oneida County,36421
585,"16 , 73",ID,Owyhee County,29575
586,"16 , 75",ID,Payette County,35551
587,"16 , 77",ID,Power County,33083
588,"16 , 79",ID,Shoshone County,29423
589,"16 , 81",ID,Teton County,44338
590,"16 , 83",ID,Twin Falls County,36415
591,"16 , 85",ID,Valley County,39469
592,"16 , 87",ID,Washington County,30922
593,"17 , 1",IL,Adams County,37195
594,"17 , 3",IL,Alexander County,25316
595,"17 , 5",IL,Bond County,38468
596,"17 , 7",IL,Boone County,53184
597,"17 , 9",IL,Brown County,35520
598,"17 , 11",IL,Bureau County,41960
599,"17 , 13",IL,Calhoun County,37849
600,"17 , 15",IL,Carroll County,37457
601,"17 , 17",IL,Cass County,36154
602,"17 , 19",IL,Champaign County,39381
603,"17 , 21",IL,Christian County,38301
604,"17 , 23",IL,Clark County,37434
605,"17 , 25",IL,Clay County,32850
606,"17 , 27",IL,Clinton County,46985
607,"17 , 29",IL,Coles County,33793
608,"17 , 31",IL,Cook County,42723
609,"17 , 33",IL,Crawford County,35570
610,"17 , 35",IL,Cumberland County,37591
611,"17 , 37",IL,DeKalb County,46054
612,"17 , 39",IL,De Witt County,42052
613,"17 , 41",IL,Douglas County,42700
614,"17 , 43",IL,DuPage County,64377
615,"17 , 45",IL,Edgar County,34985
616,"17 , 47",IL,Edwards County,36349
617,"17 , 49",IL,Effingham County,41797
618,"17 , 51",IL,Fayette County,32629
619,"17 , 53",IL,Ford County,40978
620,"17 , 55",IL,Franklin County,31173
621,"17 , 57",IL,Fulton County,35458
622,"17 , 59",IL,Gallatin County,28413
623,"17 , 61",IL,Greene County,33687
624,"17 , 63",IL,Grundy County,56437
625,"17 , 65",IL,Hamilton County,32046
626,"17 , 67",IL,Hancock County,38060
627,"17 , 69",IL,Hardin County,29775
628,"17 , 71",IL,Henderson County,37024
629,"17 , 73",IL,Henry County,42500
630,"17 , 75",IL,Iroquois County,38932
631,"17 , 77",IL,Jackson County,27093
632,"17 , 79",IL,Jasper County,37733
633,"17 , 81",IL,Jefferson County,34678
634,"17 , 83",IL,Jersey County,43789
635,"17 , 85",IL,Jo Daviess County,41738
636,"17 , 87",IL,Johnson County,34867
637,"17 , 89",IL,Kane County,59786
638,"17 , 91",IL,Kankakee County,42002
639,"17 , 93",IL,Kendall County,72061
640,"17 , 95",IL,Knox County,35093
641,"17 , 97",IL,Lake County,66447
642,"17 , 99",IL,La Salle County,41923
643,"17 , 101",IL,Lawrence County,31836
644,"17 , 103",IL,Lee County,41893
645,"17 , 105",IL,Livingston County,43812
646,"17 , 107",IL,Logan County,39020
647,"17 , 109",IL,McDonough County,31782
648,"17 , 111",IL,McHenry County,68225
649,"17 , 113",IL,McLean County,50317
650,"17 , 115",IL,Macon County,37410
651,"17 , 117",IL,Macoupin County,38609
